,,,,,,,,,,,,,ATTACHMENT - 11,,,
,,,,,,,,,,,,,(SHEET 5/5),,,
,Weekly Construction Quantity Based Progress Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Discipline / Area: ,,,,,,,,,,,,Week ending: ,,,
,"S. 
No.",Activity Description,,Act. ID,Unit,Estimated Qty.,,Cumulative,,Progress,,Cumulative,,,Plan Next Week,
,,,,,,,,Progress,,,,Progress,,,,
,,,,,,,,(Till last week),,(This Week),,(This Week),,,,
,,,,,,Qty.,Wt. %,Qty.,Wt. %,Qty.,Wt. %,Qty.,"%
Progress",Wt. %,Qty.,Wt. %
,1.0,Instrument Installation (20%),,,,,,,,,,,,,,
,,a),SMC System (30%),,Nos.,1.0,6.0,,,,,,,,,
,,b),Flow Computer (15%),,Nos.,3.0,3.0,,,,,,,,,
,,c),Pressure Transmitters (8%),,Nos.,6.0,1.6,,,,,,,,,
,,d),Diff Pr. Transmitters (8%),,Nos.,2.0,1.6,,,,,,,,,
,,e),Pig Signaller (8%),,Nos.,2.0,1.6,,,,,,,,,
,,f),Safety Relief Valves (8%),,Nos.,2.0,1.6,,,,,,,,,
,,g),Pressure Guages (8%),,Nos.,7.0,1.6,,,,,,,,,
,,h),Junction Boxes (15%),,Nos.,10.0,3.0,,,,,,,,,
,2.0,Calibration / Testing (10%),,,,,,,,,,,,,,
,,a),Pressure Transmitters (10%),,Nos.,6.0,1.0,,,,,,,,,
,,b),Diff Pr. Transmitters (10%),,Nos.,2.0,1.0,,,,,,,,,
,,c),Pig Signaller (10%),,Nos.,2.0,1.0,,,,,,,,,
,,d),Safety Relief Valves (10%),,Nos.,2.0,1.0,,,,,,,,,
,,e),MOV (45%),,Nos.,18.0,4.5,,,,,,,,,
,,f),ROV (10%),,Nos.,1.0,1.0,,,,,,,,,
,,g),Pressure Guage (5%),,Nos.,7.0,0.5,,,,,,,,,
,3.0,Instrument Tubing (5%),,,,,,,,,,,,,,
,,a),Installation (80%),,Ls,30.0,4.0,,,,,,,,,
,,b),Testing (20%),,Ls,30.0,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,100.0,,,,,,,,,
,,,,,,,,,,,,,,,,
,Note: 1.  All activities shall be arranged disciplinewise separetely for each System / Area of work as per agred WBS.,,,,,,,,,,,,,,,
