,,,,,,,,,,,,,ATTACHMENT - 11,,,
,,,,,,,,,,,,,(SHEET 3/5),,,
,Weekly Construction Quantity Based Progress Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Discipline / Area: ,,,,,,,,,,,,Week ending: ,,,
,"S. 
No.",Activity Description,,Act. ID,Unit,Estimated Qty.,,Cumulative,,Progress,,Cumulative,,,Plan Next Week,
,,,,,,,,Progress,,,,Progress,,,,
,,,,,,,,(Till last week),,(This Week),,(This Week),,,,
,,,,,,Qty.,Wt. %,Qty.,Wt. %,Qty.,Wt. %,Qty.,"%
Progress",Wt. %,Qty.,Wt. %
,1.0,Equipment Installation (15%),,,,,,,,,,,,,,
,,a),Pig Receiver (30%),,,,,,,,,,,,,
,,,I)   Installation (90%),,Nos.,1.0,4.5,,,,,,,,,
,,,ii)  Grouting & Finishing (10%),,Ls,1.0,0.3,,,,,,,,,
,,b),Gas Filters (30%),,,,,,,,,,,,,
,,,I)   Installation (90%),,Nos.,2.0,4.05,,,,,,,,,
,,,ii)  Grouting & Finishing (10%),,Ls,2.0,0.45,,,,,,,,,
,,c),Metering System (40%),,,,,,,,,,,,,
,,,I)   Installation (90%),,Nos.,1.0,5.4,,,,,,,,,
,,,ii)  Grouting & Finishing (10%),,Ls,1.0,0.6,,,,,,,,,
,2.0,Piping Works (66%),,,,,,,,,,,,,,
,,a),Fabrication (50%),,Inch Dia,2698.0,33.0,,,,,,,,,
,,b),Erection (25%),,Inch Dia,1986.0,16.5,,,,,,,,,
,,c),Install Valves (15%),,Nos.,42.0,9.9,,,,,,,,,
,,d),Install Supports (10%),,Nos.,26.0,6.6,,,,,,,,,
,3.0,"Platform, Crossover & Walkway (8%)",,,Nos.,21.0,,,,,,,,,,
,,a),Installation (90%),,Nos.,17.0,6.4,,,,,,,,,
,,b),Grouting & Finishing (10%),,Nos.,17.0,1.6,,,,,,,,,
,4.0,Painting Works (5%),,,,,,,,,,,,,,
,4.1,Piping Works (60%),,,M2,1200.0,3.0,,,,,,,,,
,4.2,Structure (40%),,,,,,,,,,,,,,
,,a),Pipe Supports (25%),,Nos.,92.0,0.5,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,100.0,,,,,,,,,
,,,,,,,,,,,,,,,,
,Note: 1.  All activities shall be arranged disciplinewise separetely for each System / Area of work as per agred WBS.,,,,,,,,,,,,,,,
