# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,
All Inclusive Equipment Rates,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
48,"Internal Lineup Clamp - 72""",NA,NA,NA
48,"Internal Lineup Clamp – 60""",NA,NA,NA
49,"Internal Lineup Clamp – 48""",NA,NA,NA
49,Internal Lineup Clamp – 52”,NA,NA,NA
50,"Roll Cradile,52""",NA,NA,NA
50,"Roll Cradile,48""",NA,NA,NA
51,"Roll Cradile,24""",NA,NA,NA
51,"Roll Cradile,18"" ",NA,NA,NA
52,Electric Welding Machine,11156.8,557.84,446.272
52,"Welding Machine, Diesel",13799.2,689.96,551.968
53,"Vacuum Pipelifter, 52”",NA,NA,NA
53,"Vacuum Pipelifter, 48""",NA,NA,NA
54,"Vacuum Pipelifter, 24""",NA,NA,NA
54,"Vacuum Pipelifter, 18""",NA,NA,NA
55,"Automatic Welding Machine, 52""",NA,NA,NA
55,"Automatic Welding Machine,48""",NA,NA,NA
56,"Automatic Welding Machine, 24""",NA,NA,NA
56,"Automatic Welding Machine, 18""",NA,NA,NA
57,Facing Machine,NA,NA,NA
57,"Welding Tent, 52""",NA,NA,NA
58,"Welding Tent, 48""",NA,NA,NA
58,"Welding Tent, 24""",NA,NA,NA
59,"Welding Tent, 18""",NA,NA,NA
59,"Pipe Cutter, Zinser No.4",7046.4,352.32,281.856
60,"Pipe Bevelling Machine, pneumatic",7046.4,352.32,281.856
60,"External Line Up Clamp, 52""",NA,NA,NA
61,"External Line Up Clamp, 48""",NA,NA,NA
61,"External Line Up Clamp, 36""",NA,NA,NA
62,"External Line Up Clamp, 24""",NA,NA,NA
62,"External Line Up Clamp, 20""",NA,NA,NA
63,"External Line Up Clamp, 18""",NA,NA,NA
63,"External Line Up Clamp, 16""",NA,NA,NA
64,"Induction Heating Unit, complete",40810.4,2040.52,1632.416
64,"Generator, 20 KVA",5578.4,278.92,41.838
65,"Generator, 25 KVA",7046.4,352.32,52.848
65,"Generator, 50 KVA",13799.2,689.96,103.494
66,"Generator, 100 KVA",27304.8,1365.24,204.786
66,"Generator, 130 KVA",35232,1761.6,264.24
67,"Generator, 220 KVA",59600.8,2980.04,447.006
67,"Generator, 250 KVA",67528,3376.4,506.46
68,Generator 360 KVA,97181.6,4859.08,728.862
68,Generator 500 KVA,135056,6752.8,1012.92
69,"Floodlight, 3,5 kw",8514.4,425.72,340.576
69,Grit Blast unit + compressor ,54316,2715.8,2172.64
70,Padding m/c + dozer,54316,2715.8,2172.64
70,Padding m/c + loader,54316,2715.8,2172.64
71,"Thrustbore Machine, 30"" P/l, compl.",NA,NA,NA
71,"Thrustbore Machine, 24"" P/l, compl.",NA,NA,NA
72,"Thrustbore Machine for 48""P/l., compl.",NA,NA,NA
72,"Thrustbore Machine for 52"" P/l, compl.",NA,NA,NA
73,"Microtunnelling Machine, 30"" P/l",NA,NA,NA
73,"Microtunnelling Machine, 24"" P/l",NA,NA,NA
74,"Microtunnelling Machine, 48"" P/l",NA,NA,NA
74,"Microtunnelling Machine, 52"" P/l",NA,NA,NA
75,"Horizontal Drilling Rig, 30"" P/l comp.",NA,NA,NA
75,"Horizontal Drilling Rig, 24"" P/l comp.",NA,NA,NA
76,"Horizontal Drilling Rig, 48"" P/l comp.",NA,NA,NA
76,"Horizontal Drilling Rig, 52"" P/l comp.",NA,NA,NA
77,"Container Office, 20""",3523.2,176.16,140.928
77,"Container Store, 20""",1761.6,88.08,70.464
78,"Workshop Container, 20""",2055.2,102.76,82.208
78,"Workshop Container, 40""",3523.2,176.16,140.928
79,"Set:Cleaning, Gauging and Hydrotest Eqp.",34057.6,1702.88,1362.304
79,Air Drying Equipment,135056,6752.8,5402.24
80,"Concrete Mixer Truck, 5 - 7 M3",NA,NA,NA
80,"Concrete Mixer Truck, 8 - 10 M3",NA,NA,NA
81,"Concrete Pump, Truck mounted",108044.8,5402.24,4321.792
81,"Crude Oil Tanker, 10 M3",27304.8,1365.24,1092.192
82,"Water Pump, 32 M3 / h",2936,146.8,117.44
82,"Water Pump, 65 M3 / h",3523.2,176.16,140.928
83,Level,3523.2,176.16,140.928
83,Theodolite,4697.6,234.88,187.904
84,Tractor Welder D6,13799.2,689.96,551.968
84,Tractor Welder D7,17028.8,851.44,681.152
85,Nitrogen generator,NA,NA,NA
85,Berm forming machine,NA,NA,NA
86,Hydrotest Cabin and Equipment,NA,NA,NA
86,Lighting Set,NA,NA,NA
87,Truck 6 T/W - Hiab,27304.8,1365.24,1092.192
87,Truck 10 T/W - Hiab,30534.4,1526.72,1221.376
88,Truck - Lube,34057.6,1702.88,1362.304
88,Truck C/Pit 400 GL,40810.4,2040.52,1632.416
89,Truck Cold Storage 27 M3,101292,5064.6,4051.68
89,Truck - Service,27304.8,1365.24,1092.192
90,Truck - Tipper 15 M3,34057.6,1702.88,1362.304
90,Pipe Lowering-in Equipment,NA,NA,NA
91,Rock Hammer,81033.6,4051.68,3241.344
91,Fuel Truck 1500 GL,20552,1027.6,822.08
92,Fuel Truck 3000 GL,27304.8,1365.24,1092.192
92,TR W/Tanker 3000 GL,20552,1027.6,822.08
93,TR W/Tanker 5000 GL,27304.8,1365.24,1092.192
93,TR W/Tanker 6000 GL,34057.6,1702.88,1362.304
94,TR W/Tanker 12000 GL,40810.4,2040.52,1632.416
94,TR TIPP MER3824 15 M3,34057.6,1702.88,1362.304
95,Truck 6T,20552,1027.6,822.08
95,Scraper 631D,40810.4,2040.52,1632.416
96,W/Loader BOB CAT 741/3,34057.6,1702.88,1362.304
96,Excavator JCB 3C,54316,2715.8,2172.64
97,Hot Tapping Machine for  4” – 10”,NA,NA,NA
97,Hot Tapping Machine for  12” – 18”,NA,NA,NA
98,Hot Tapping Machine for  20” – 24”,NA,NA,NA
98,Hot Tapping Machine for  26” – 30”,NA,NA,NA
99,Hot Tapping Machine for  36” – 40”,NA,NA,NA
99,Hot Tapping Machine for  42” – 46”,NA,NA,NA
100,Hot Tapping Machine for  48” – 52”,NA,NA,NA
100,Ripper Dozer D8K,54316,2715.8,2172.64
101,Tow Truck,63124,3156.2,2524.96
101,Side Boom 594,40810.4,2040.52,1632.416
102,Side Boom 572,40810.4,2040.52,1632.416
102,Side Boom 571,40810.4,2040.52,1632.416
103,Side Boom 583,40810.4,2040.52,1632.416
103,Compactor Trench 75,34057.6,1702.88,1362.304
104,Compactor Trench 65,30534.4,1526.72,1221.376
104,Test Pump,2936,146.8,117.44
105,H.P. Test Pump,4404,220.2,176.16
105,Well Point Dewatering System,34057.6,1702.88,1362.304
106,Forklift 6 Ton,20552,1027.6,822.08
106,Dumper 2 T,7046.4,352.32,281.856
107,Batching Plant 55 M3,NA,NA,NA
107,Transit Mixer 6 M3,NA,NA,NA
108,Ambulance ,27304.8,1365.24,1092.192
108,4 WD Pickup with A/C,13799.2,689.96,551.968
109,4 WD Station Wagon with A/C,18203.2,910.16,728.128
109,CAT 966 Rubber Tyred Shovels,34057.6,1702.88,1362.304
110,"Cold Cutting Machine upto 48""",11156.8,557.84,446.272
110,Cutting & Beveling Machine,2936,146.8,117.44
111,Survey Equipment,13799.2,689.96,551.968
111,Holiday Detector,9395.2,469.76,375.808
112,Hydraulic Jack Hammer,63124,3156.2,2524.96
112,"Crawler Crane, 400 T",583970.4,29198.52,23358.816
113,"Crawler Crane, 350 T",539049.6,26952.48,21561.984
113,"Crawler Crane, 250 T",337052.8,16852.64,13482.112
114,"Crawler Crane, 165 T",269818.4,13490.92,10792.736
114,"Crawler Crane, 110 T",179976.8,8998.84,7199.072
115,"Crawler Crane, 70 T",123899.2,6194.96,4955.968
115,"Crawler Crane, 50 - 60 T",90135.2,4506.76,3605.408
116,"Mobile Crane, 120 - 125 T",280975.2,14048.76,11239.008
116,"Mobile Crane, 110 T",247211.2,12360.56,9888.448
117,"Mobile Crane, 70 T",157369.6,7868.48,6294.784
117,"Mobile Crane, 50 T",112448.8,5622.44,4497.952
118,Mobile Crane 40 T,90135.2,4506.76,3605.408
118,"Mobile Crane, 18T",45214.4,2260.72,1808.576
119,"RT Crane, 51 - 60 T",NA,NA,NA
119,"RT Crane, 41 - 50 T",NA,NA,NA
120,"RT Crane, 30 - 40 T",NA,NA,NA
120,"RT Crane, 18 - 20 T",NA,NA,NA
121,4WD Landcruiser with A/C,20552,1027.6,822.08
121,Saloon Car (5 seater with A/C),17028.8,851.44,681.152
122,Others ( BIDDER to specify),,,
Special Notes,,,,
"1.The above daily equipment rates shall apply for 10 hours/day of operational use of Subcontractor-owned and supplier's construction equipment which has been mobilized to the general vicinity of WORK SITE. And the monthly rate applies for the equipment which to be rented for at least 1 month. When Subcontractor's equipment does not resemble the equipment having rates listed herein, the rate shall be negotiated and agreed upon in writing by Contractor.",,,,
"2.Equipment rates shall include all costs to Subcontractor for mobilization, demobilization, loading and off-loading, assembly and disassembly, overtime premium, bonuses, holidays premium, fuel, maintenance, repairs, insurance, overhead and profits, and any other allowance and/or expense incurred to Subcontractor in compliance with all applicable Federal, State and Local laws.",,,,
3.Equipment rates shall include all typical equipment accessories required for use within the equipment including spare parts.,,,,
"4.Any equipment standby time for changes in SUBCONTRACT WORK caused by CONTRACTOR shall be approved by CONTRACTOR (if applicable), and shall be paid at the percentages quoted above.",,,,
5.Subcontractor's costs for any construction equipment not available at jobsite which must be rented by Subcontractor or its low tier subcontractor or suppliers for the execution of changes to SUBCONTRACT WORK shall be reimbursed at actual cost to Subcontractor plus.5%-(five percent).,,,,
"6.The cost for equipment drivers, operators, fuelers, oilers etc. are included in the Construction Equipment rates.",,,,
"7. VAT will be excluded in the proposal and submit together with the invoice, which is required to be approved by Wison.",,,,
,,,,
