AREA,UNIT,DISC,DOCUMENT NUMBER,REV,TITLE,STATUS,ORIGINATOR,TYPE
COMMON,001,PI,0401413-ADD-6300-001,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - WELDING AND NDE OF PIPING SYSTEM,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-6500-010,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - HOT INSULATION FOR PIPING AND EQUIPMENT,IFD,WORLEY,DOCUMENT
COMMON,001,PI,DOD-0401413-GG-001-13-00-001,0,PIPING DESIGN BASIS,IFD,WORLEY,DOCUMENT
COMMON,001,PI,NC-0401413-GG-001-13-80-003,0,PIPE WALL THICKNESS CALCULATION,IFD,WORLEY,DOCUMENT
COMMON,001,PI,PP-0401413-GG-001-13-80-001,0,3D MODEL REVIEW PROCEDURE,IFD,WORLEY,DOCUMENT
COMMON,001,PI,PP-0401413-GG-001-13-80-002,0,3D MODELING PROCEDURE,IFD,WORLEY,DOCUMENT
COMMON,001,PI,RPT-0401413-GG-001-13-75-004,A,PLOT PLAN REVIEW WORKSHOP REPORT,ICR,WORLEY,DOCUMENT
COMMON,001,PI,RPT-0401413-GG-001-13-84-001,0,SITE VISIT REPORT (HABSHAN 5),IFI,WORLEY,DOCUMENT
COMMON,001,PI,RPT-0401413-GG-001-13-84-002,0,SITE VISIT REPORT (HABSHAN 4),IFI,WORLEY,DOCUMENT
COMMON,001,PI,SPP-0401413-GG-001-13-45-001,0,DATASHEETS FOR MANUAL GLOBE VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PI,SPP-0401413-GG-001-13-45-002,0,DATASHEETS FOR MANUAL GATE VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PI,SPP-0401413-GG-001-13-45-003,0,DATASHEETS FOR MANUAL BUTTERFLY VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PI,SPP-0401413-GG-001-13-45-004,0,DATASHEETS FOR MANUAL BALL VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PI,SPP-0401413-GG-001-13-45-005,0,DATASHEETS FOR MANUAL CHECK VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-ADD-1470-006,0,ADDENDUM TO DGS-1470-006 - PIPELINE FIELD JOINT COATING USING HEAT SHRINKABLE SLEEVES FOR POLYPROPYLENE COATED PIPE,IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-ADD-6300-004,0,ADDENDUM TO DGS-6300-004 PIPELINE WELDING AND NDT,IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-ADD-9510-002,0,ADDENDUM TO DGS-9510-002 - SEAMLESS LINE PIPE,IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-ADD-9510-004,0,"ADDENDUM TO DGS-9510-004 - ONSITE, NON PIGGABLE PIPING MATERIALS",IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-ADD-9520-001,0,ADDENDUM TO DGS 9520-001 FOR PIPELINE BALL VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-ADD-9520-002,1,ADDENDUM TO DGS-9520-002 - PIPELINE PLUG VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-ADD-9530-001,0,ADDENDUM TO DGS-9530-001 - FACTORY HOT BENDS,IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-ADD-9540-001,0,ADDENDUM TO DGS- 9540-001 PIPELINE LAUNCHERS AND RECEIVERS (SCRAPER TRAPS),IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-ADD-9550-002,0,ADDENDUM TO DGS-9550-002 - PIPELINE CONSTRUCTION,IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-ADD-9550-004,0,ADDENDUM TO DGS-9550-004 - FLEXIBLITY ANALYSIS (PIPELINE),IFD,WORLEY,DOCUMENT
COMMON,001,PL,0401413-GG-001-95-10-001,0,"NEW PROPOSED 12"" CO2 PIPELINE OVERALL ROUTE MAP (HABSHAN-4 TO HABSHAN-5)",IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-10-002,0,"NEW PROPOSED 12"" CO2 PIPELINE OVERALL ROUTE MAP (HABSHAN-4 TO HABSHAN-5)",IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-001,0,TYPICAL DETAILS OF UNCASED ROAD/TRACK CROSSING AND SAFETY BARRIER,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-002,0,TYPICAL DETAILS OF EXISTING UNDERGROUND PIPE CROSSING (TYPE-1),IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-003,0,TYPICAL DETAILS OF EXISTING UNDERGROUND PIPE CROSSING (TYPE-2),IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-004,0,TYPICAL DETAILS OF KM WARNING SIGN BOARD AT ROAD CROSSING,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-005,0,TYPICAL DETAILS OF OVERHEAD POWER LINE CROSSING,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-006,0,TYPICAL DETAILS OF UNDERGROUND CABLE CROSSING,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-007,0,TYPICAL DETAILS OF PIPELINE CROSSING IN SABKHA AREAS,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-008,0,TYPICAL DETAILS OF PIPELINE TRENCH,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-009-001,0,TYPICAL DETAILS OF CROSSING MARKER SIGN FOR OTHER CABLE,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-010-001,0,TYPICAL DETAILS OF CROSSING MARKER SIGN FOR OTHER PIPELINE,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-011-001,0,TYPICAL DETAILS OF DIRECTION MARKER,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-012-001,0,TYPICAL DETAILS OF PIPELINE IDENTIFICATION SLABS & CABLE TILES,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-013,0,TYPICAL DETAILS OF PIPELINE CONSTRUCTION AT SABKHA AREAS,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-014,0,TYPICAL DETAILS OF CABLE CROSSING IN SABKHA AREAS,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-015,0,TYPICAL DETAILS OF HIGH VOLTAGE OVERHEAD CABLE CROSSING MARKER SIGN,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-017,0,TYPICAL DETAILS OF KM WARNING SIGN BOARD FOR GAS PIPELINES,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-019,0,TYPICAL DETAILS OF SIGNBOARDS FIXING POST DETAILS,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-020,0,TYPICAL DETAILS OF KM WARNING SIGN BOARD FOR UTILITIES PIPELINES,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-021,0,TYPICAL DETAILS OF ROW AND TRENCH IN SAND DUNE AREA,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-022,0,TYPICAL DETAILS OF WARNING SIGN BOARD AT PIPELINE LAUNCHER / RECEIVER STATION,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-023,0,TYPICAL DETAILS OF DANGER SIGN BOARD AT PIPELINE LAUNCHER / RECEIVER STATION,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-024,0,TYPICAL DETAILS OF DIRECTION SIGN BOARDS AT LAUNCHER AND RECEIVER STATION,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-GG-001-95-50-025,0,TYPICAL DETAILS OF RIG CROSSING OVER A BURIED PIPELINE,IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-PL-001-95-40-001,0,"NEW PROPOSED 12"" CO2 PIPELINE KEY PLAN FOR ALIGNMENT SHEETS (TOTAL LENGTH 14.575 KM)",IFD,WORLEY,DRAWING
COMMON,001,PL,0401413-PL-001-95-40-002,B,"NEW PROPOSED 12"" CO2 PIPELINE ALIGNMENT SHEET - CH. 00+000.0 TO CH. 02+500.0",IFA,WORLEY,DRAWING
COMMON,001,PL,0401413-PL-001-95-40-003,B,"NEW PROPOSED 12"" CO2 PIPELINE ALIGNMENT SHEET - CH. 02+500.0 TO CH. 05+000.0",IFA,WORLEY,DRAWING
COMMON,001,PL,0401413-PL-001-95-40-004,B,"NEW PROPOSED 12"" CO2 PIPELINE ALIGNMENT SHEET - CH. 5+000.0 TO CH. 7+500.0",IFA,WORLEY,DRAWING
COMMON,001,PL,0401413-PL-001-95-40-005,B,"NEW PROPOSED 12"" CO2 PIPELINE ALIGNMENT SHEET - CH. 7+500.0 TO CH. 10+000.0",IFA,WORLEY,DRAWING
COMMON,001,PL,0401413-PL-001-95-40-006,B,"NEW PROPOSED 12"" CO2 PIPELINE ALIGNMENT SHEET - CH. 10+000.0 TO CH. 12+500.0",IFA,WORLEY,DRAWING
COMMON,001,PL,0401413-PL-001-95-40-007,B,"NEW PROPOSED 12"" CO2 PIPELINE ALIGNMENT SHEET - CH. 12+500.0 TO CH. 14+575.184",IFA,WORLEY,DRAWING
COMMON,001,PL,BOQ-0401413-GG-001-95-80-011,0,PIPELINE MATERIAL TAKE OFF,IFI,WORLEY,DOCUMENT
COMMON,001,PL,DOD-0401413-GG-001-95-85-001,0,PIPELINE DESIGN BASIS,IFD,WORLEY,DOCUMENT
COMMON,001,PL,DOD-0401413-GG-001-95-90-001,0,DATASHEET FOR LINEPIPE,IFD,WORLEY,DOCUMENT
COMMON,001,PL,DOD-0401413-GG-001-95-90-002,0,DATASHEET FOR FACTORY HOT BENDS,IFD,WORLEY,DOCUMENT
COMMON,001,PL,DOD-0401413-GG-001-95-90-003,0,DATA SHEET FOR PIPELINE LAUNCHERS AND RECEIVERS (SCRAPER TRAPS),IFD,WORLEY,DOCUMENT
COMMON,001,PL,DOD-0401413-GG-001-95-90-005,0,DATASHEET FOR PIPELINE PIGGING TEES,IFD,WORLEY,DOCUMENT
COMMON,001,PL,DOD-0401413-GG-001-95-90-006,0,DATASHEET FOR MONOLITHIC INSULATION JOINT,IFD,WORLEY,DOCUMENT
COMMON,001,PL,DOD-0401413-GG-001-95-90-007,0,DATASHEET FOR PIPELINE BALL VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PL,DOD-0401413-GG-001-95-90-008,A,DATASHEET FOR ANCHOR FLANGE,ICR,WORLEY,DOCUMENT
COMMON,001,PL,DOD-0401413-GG-001-95-90-009,0,DATASHEET FOR PIPELINE PLUG VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PL,RPT-0401413-GG-000-00-00-108,0,SITE VISIT REPORT - PIPELINE ROUTE (HABSHAN 4 AND HABSHAN 5),IFI,WORLEY,DOCUMENT
COMMON,001,PL,RPT-0401413-GG-001-95-80-001,0,PIPELINE MECHANICAL DESIGN CALCULATION REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,PL,RPT-0401413-GG-001-95-80-002,0,PIPELINE UPHEAVEL BUCKLING CALCULATION,IFD,WORLEY,DOCUMENT
COMMON,001,PL,RPT-0401413-GG-001-95-80-003,A,PIPELINE STRESS ANALYSIS REPORT,ICR,WORLEY,DOCUMENT
COMMON,001,PL,RPT-0401413-GG-001-95-80-005,0,PIPELINE ROUTE SELECTION REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,PL,RPT-0401413-GG-001-95-80-008,0,PIPELINE PIGGING / SCRAPPING REQUIREMENT STUDY REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,PL,RPT-0401413-GG-001-95-80-010,0,PIPELINE COATING SELECTION REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,PL,RPT-0401413-GG-001-95-80-012,A,PIPELINE ENGINEERING NARRATIVE,ICR,WORLEY,DOCUMENT
COMMON,001,PL,RPT-0401413-GG-001-95-80-013,B,GEOTECHNICAL INVESTIGATION FOR PIPELINE AREA - CO2 RECOVERY AND INJECTION PROJECT,IFA,ACES,DOCUMENT
COMMON,001,PL,RPT-0401413-GG-001-95-80-014,B,TOPOGRAPHICAL & UNDERGROUND DETECTION SURVEY REPORT (PIPELINE ROUTE),IFA,ACES,DOCUMENT
COMMON,001,PL,SOW-0401413-GG-001-95-80-010,0,ROAD AND PAVING DETAILS,IFD,WORLEY,DOCUMENT
COMMON,001,PL,SP-0401413-GG-001-95-37-001,0,SPECIFICATION FOR POLYPROPYLENE COATING SYSTEM OF FITTINGS,IFD,WORLEY,DOCUMENT
COMMON,001,PL,SP-0401413-GG-001-95-37-002,0,SPECIFICATION FOR 3LPP COATING,IFD,WORLEY,DOCUMENT
COMMON,001,PR,0401413-GG-001-00-20-001-001,B,HABSHAN 4 CO2 RECOVERY PROCESS BLOCK FLOW DIAGRAM,IFA,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-20-001-001,0,HABSHAN 4 CO2 RECOVERY PROCESS BLOCK FLOW DIAGRAM,IFD,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-20-001-002,B,HABSHAN 5 CO2 RECOVERY PROCESS BLOCK FLOW DIAGRAM,IFA,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-20-001-002,0,HABSHAN 5 CO2 RECOVERY PROCESS BLOCK FLOW DIAGRAM,IFD,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-20-100-001,B,HABSHAN 4 CO2 RECOVERY UTILITY BLOCK FLOW DIAGRAMS,IFA,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-20-100-001,0,HABSHAN 4 CO2 RECOVERY UTILITY BLOCK FLOW DIAGRAMS,IFD,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-20-100-002,B,HABSHAN 5 CO2 RECOVERY UTILITY BLOCK FLOW DIAGRAMS,IFA,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-20-100-002,0,HABSHAN 5 CO2 RECOVERY UTILITY BLOCK FLOW DIAGRAMS,IFD,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-30-001,B,P&ID - HABSHAN CO2 RECOVERY - PIPING SYMBOLS & LEGEND SHEET 1,IDR,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-30-001-001,C,P&ID - HABSHAN CO2 RECOVERY - PIPING SYMBOLS & LEGEND SHEET 1,IFH,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-30-001-002,C,P&ID - HABSHAN CO2 RECOVERY - PIPING SYMBOLS & LEGEND SHEET 2,IFH,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-30-001-003,C,P&ID - HABSHAN CO2 RECOVERY - PIPING SYMBOLS & LEGEND SHEET 3,IFH,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-30-001-004,D,P&ID - HABSHAN CO2 RECOVERY - PIPING SYMBOLS & LEGEND SHEET 4,IFH,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-30-001-005,C,P&ID - HABSHAN CO2 RECOVERY - PIPING SYMBOLS & LEGEND SHEET 5,IFH,WORLEY,DRAWING
COMMON,001,PR,0401413-GG-001-00-71-550-001,0,BLOCK FLOW DIAGRAM HABSHAN CO2 RECOVERY AND INJECTION - OVERALL PROCESS SYSTEM BLOCK DIAGRAM,IFT,WORLEY,DRAWING
COMMON,001,PR,041413-GG-001-00-42-501,0,EQUIPMENT LIST (ADDED / MODIFIED EQUIPMENT),IFD,WORLEY,DOCUMENT
COMMON,001,PR,DWG-0401413-GG-001-00-71-551,1,"HEAT AND MATERIAL BALANCE (SUSTAINABLE/TH-B & BUHASA TECHNICAL RATE, 2024 WINTER, MIXED MODE OPERATION)",IFU,WORLEY,DOCUMENT
COMMON,001,PR,DWG-0401413-GG-001-00-71-552,0,HEAT AND MATERIAL BALANCE (DEFINE),IFT,WORLEY,DOCUMENT
COMMON,001,PR,LST-0401413-GG-001-00-42-501,0,EQUIPMENT LIST - COMBINED HABSHAN 4 AND HABSHAN 5,IFT,WORLEY,DOCUMENT
COMMON,001,PR,LST-0401413-GG-001-00-42-502,0,HABSHAN 4 + HABSHAN 5 COMBINED - LINE LIST,IFT,WORLEY,DOCUMENT
COMMON,001,PR,LST-0401413-GG-001-00-42-503,B,TIE-IN LIST,IFA,WORLEY,DOCUMENT
COMMON,001,PR,PHL-0401413-GG-001-00-11-001,0,"ISOLATION, VENT AND DRAIN PHILOSOPHY",IFT,WORLEY,DOCUMENT
COMMON,001,PR,PHL-0401413-GG-001-00-11-002,0,OPERATING & CONTROL PHILOSOPHY FOR HABSHAN 4 & HABSHAN 5,IFT,WORLEY,DOCUMENT
COMMON,001,PR,PHL-0401413-GG-001-00-11-003,0,"OVER PRESSURE PROTECTION,RELIEF AND DEPRESSURIZATION PHILOSOPHY",IFT,WORLEY,DOCUMENT
COMMON,001,PR,PHL-0401413-GG-001-00-11-006,0,ESD PHILOSOPHY,IFT,WORLEY,DOCUMENT
COMMON,001,PR,PHL-0401413-GG-001-00-11-007,0,DEMOLITION PHILOSOPHY,IFT,WORLEY,DOCUMENT
COMMON,001,PR,PHL-0401413-GG-001-00-11-008,B,PRE-COMMISSIONING & COMMISSIONING PHILOSOPHY,IFA,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-00-001,0,PROCESS DESCRIPTION (DEFINE),IFT,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-003,0,TECHNOLOGY SCREENING & SELECTION REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-004,0,PROCESS ADEQUACY ASSESSMENT REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-005,0,UTILITY ADEQUACY ASSESSMENT REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-008,0,UTILITY SUPPORT STUDY,IFD,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-011,0,PROCESS DESIGN CRITERIA - ADDENDUM TO DGS,IFT,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-012,1,PROCESS DESIGN BASIS (DEFINE),IFT,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-013,0,UTILITY DESIGN BASIS (DEFINE),IFT,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-014,B,HABSHAN 4 AND 5 UTILITY CONSUMPTION SUMMARY,IFA,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-015,B,CHEMICAL CONSUMPTION SUMMARY - COMBINED HABSHAN 4 AND HABSHAN 5,IFA,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-017,A,EMISSION AND EFFLUENT SUMMARY - COMBINED HABSHAN 4 AND HABSHAN 5,ICR,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-018,B,PROCESS ADEQUACY REPORT,IFA,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-019,0,UTILITY ADEQUACY REPORT (DEFINE),IFT,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-022 ,B,HABSHAN 4 COS HYDROLYSIS PACKAGE (190-ME-105) - PROCESS DUTY SPECIFICATION DATASHEET ,IFA,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-025 ,B,HABSHAN 5 COS HYDROLYSIS PACKAGE (515-ME-103) - PROCESS DUTY SPECIFICATION DATASHEET ,IFA,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-027,0,PROCESS SIMULATION REPORT (DEFINE),IFT,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-030,1,PROCESS SIMULATION REPORT (HABSHAN DEBOTTLENECKING STUDY),IFU,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-031,2,PROCESS ADEQUACY REPORT (HABSHAN DEBOTTLENECKING STUDY),IFU,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-032,0,PROCESS SAFEGUARDING NARRATIVE,IFT,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-033,0,DEPRESSURIZATION STUDY REPORT,IFT,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-034,0,FLARE ADEQUACY REPORT,IFT,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-00-60-035,0,STEADY STATE HYDRAULIC REPORT FOR CO2 PIPELINE (DEFINE),IFT,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-50-00-010,0,ENERGY REVIEW REPORT (CONCEPT DESIGN),IFD,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-50-44-004,0,OPTION CATALOUGE,IFD,WORLEY,DOCUMENT
COMMON,001,PR,RPT-0401413-GG-001-50-44-013,A,ENERGY REVIEW REPORT (DEFINE),ICR,WORLEY,DOCUMENT
COMMON,001,QA,RPT-0401413-GG-001-51-00-100,1,PROJECT QUALITY PLAN,IFD,WORLEY,DOCUMENT
COMMON,001,SR,PP-0401413-GG-001-61-00-005,0,HAZOP TERMS OF REFERENCE,IFD,WORLEY,DOCUMENT
COMMON,001,SR,PP-0401413-GG-001-61-00-006,0,SIL CLASSIFICATION TERMS OF REFERENCE,IFD,WORLEY,DOCUMENT
COMMON,001,SR,PP-0401413-GG-001-61-00-007,A,SIMOPS & CONSTRUCTABILITY REVIEW TERMS OF REFERENCE,ICR,WORLEY,DOCUMENT
COMMON,001,SR,PP-0401413-GG-001-61-00-008,1,HAZID ENVID OHID TERMS OF REFERENCE,IFD,WORLEY,DOCUMENT
COMMON,001,SR,PP-0401413-GG-001-61-00-009,0,ISD REVIEW TERMS OF REFERENCE,IFD,WORLEY,DOCUMENT
COMMON,001,SR,PP-0401413-GG-001-61-00-010,0,QRA ASSUMPTIONS REGISTER,IFD,WORLEY,DOCUMENT
COMMON,001,SR,PP-0401413-GG-001-61-00-011,B,RAM STUDY ASSUMPTION REGISTER,IFA,WORLEY,DOCUMENT
COMMON,001,SR,PP-0401413-GG-001-61-00-012,0,NOISE STUDY ASSUMPTIONS REGISTER,IFT,WORLEY,DOCUMENT
COMMON,001,SR,PP-0401413-GG-001-61-00-013,0,FIRE AND GAS MAPPING STUDY ASSUMPTION REGISTER,IFT,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-00-001,0,HSE PLAN (DEFINE STAGE),IFD,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-11-002,0,HSE PHILOSOPHY (DEFINE STAGE),IFD,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-11-022,0,FIRE PROTECTION AND DETECTION PHILOSOPHY,IFD,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-22-002,0,HAZID / ENVID / OHID REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-22-003,0,HAZID ENVID OHID CLOSEOUT REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-22-004,0,HSEIA SCREENING REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-22-020,0,TECHNICAL BID EVALUATION REPORT FOR SAFETY STUDIES (DEFINE STAGE),IFA,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-22-021,A,NOISE STUDY REPORT,ICR,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-22-022,0,VENT DISPERSION STUDY,IFT,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-22-023,0,ISD REVIEW REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-55-001,0,HAZARDOUS AREA CLASSIFICATION SCHEDULE,IFT,WORLEY,DOCUMENT
COMMON,001,SR,RPT-0401413-GG-001-61-66-001,0,HSE ACTION TRACKING REGISTER,IFD,WORLEY,DOCUMENT
COMMON,001,SR,SOW-0401413-GG-001-61-11-050,0,SCOPE OF WORK FOR SAFETY STUDIES (DEFINE STAGE),IFD,WORLEY,DOCUMENT
COMMON,001,SR,SP-0401413-GG-001-19-33-001,0,FIRE SUPPRESSION SYSTEM TECHNICAL SPECIFICATION,IFD,WORLEY,DOCUMENT
COMMON,001,SR,SP-0401413-GG-001-19-33-002,0,FIREFIGHTING AND SAFETY EQUIPMENT SPECIFICATION,IFT,WORLEY,DOCUMENT
COMMON,001,SR,SPP-0401413-GG-001-61-44-001,0,FIREFIGHTING AND SAFETY EQUIPMENT DATASHEET,IFT,WORLEY,DOCUMENT
COMMON,001,SR,SPP-0401413-GG-001-61-44-002,0,FIRE SUPPRESSION SYSTEM DATASHEET,IFD,WORLEY,DOCUMENT
COMMON,300,TE,0401413-300-1531-001,B,OVERALL FIBER OPTIC NETWORK BLOCK DIAGRAM,IFA,WORLEY,DRAWING
COMMON,001,TE,0401413-ADD-1532-003,0,CCTV SYSTEM - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,TE,0401413-ADD-1532-004,0,TELEPHONE SYSTEM - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,TE,DOD-0401413-GG-0001-15-00-004,0,TELECOMMUNICATIONS DESIGN BASIS,IFD,WORLEY,DOCUMENT
COMMON,001,TE,RPT-0401413-GG-001-15-89-011,0,SITE VISIT REPORT - TELECOMMUNICATIONS (HABSHAN 4 & HABSHAN 5),IFI,WORLEY,DOCUMENT
COMMON,001,TE,SPP-0401413-GG-001-15-22-001,0,DATASHEET FOR TELEPHONE SYSTEM,IFD,WORLEY,DOCUMENT
COMMON,001,TE,SPP-0401413-GG-001-15-22-002,0,DATASHEET FOR DATA NETWORK/ SCS SYSTEM,IFD,WORLEY,DOCUMENT
COMMON,001,TE,SPP-0401413-GG-001-15-22-003,0,DATASHEET FOR CCTV SYSTEM,IFD,WORLEY,DOCUMENT
COMMON,001,TE,SPP-0401413-GG-001-15-22-004,0,DATASHEET FOR PAGA SYSTEM,IFD,WORLEY,DOCUMENT
COMMON,001,TE,SPP-0401413-GG-001-15-22-006,0,DATASHEET FOR ACCESS CONTROL SYSTEM,IFD,WORLEY,DOCUMENT
COMMON,001,TE,SPP-0401413-GG-001-15-22-007,0,DATASHEET FOR RADIO COMMUNICATION SYSTEM,IFD,WORLEY,DOCUMENT
COMMON,001,TE,SPP-0401413-GG-001-15-22-008,0,DATASHEET FOR FOC/ OSP SYSTEM,IFD,WORLEY,DOCUMENT
H4,190,AR,0401413-H4-190-20-12-001,B,HABSHAN 4 - UNIT 190 SUBSTATION 32 - ARCHITECTURAL PLAN-1,IFA,WORLEY,DRAWING
H4,190,AR,0401413-H4-190-20-12-002,B,HABSHAN 4 - UNIT 190 SUBSTATION 32 - ARCHITECTURAL PLAN-2,IFA,WORLEY,DRAWING
H4,190,AR,0401413-H4-190-20-12-003,B,HABSHAN 4 - UNIT 190 SUBSTATION 32 - ARCHITECTURAL PLAN-3,IFA,WORLEY,DRAWING
H4,190,AR,0401413-H4-190-20-12-004,B,HABSHAN 4 - UNIT 190 SUBSTATION 32 - ARCHITECTURAL PLAN-4,IFA,WORLEY,DRAWING
